idx	movieTitle	adjectives
0	Manakamana	[]
2	Lost & Found	['difficult']
7	The Comedian	['Better']
13	Son of Saul	['great']
16	Yossi	['Deeply', 'Reliant']
19	Kubo and the Two Strings	['absorptive']
21	X-men: First Class	['best']
25	American Pie	['special', 'good']
26	Free Birds	['staged', 'dull']
30	Peppermint	['good']
37	Hangover II	['bad', 'new']
50	Rosemary's Baby	['desparate']
53	Prime	['unimaginative']
56	Enough Said	['sweet', 'charming']
59	Crossing Over	[]
69	Ghostbusters	[]
72	Aire	[]
77	Nyet	['long', 'sexed-up', 'sadistic']
82	A Beautiful Mind	['silly']
85	Krampus	['toothless']
88	Mind the Doors	[]
101	Hickenlooper	['unsure']
103	Humshakals	[]
104	Zootopia	['lovable']
110	Craze, Stupi, Love.	[]
111	The Road	['dark', 'bleak', 'nightmarish', 'beautiful', 'optimistic']
114	The Last Stand	['penultimate']
122	Love Is Strange	['lovely']
128	Charlotte	[]
138	Penelope Cruz	['outstanding', 'lame']
144	The Wolf of Wall Street	['important']
150	Captain Underpants	['goofy']
151	The Great Wall	['groundbreaking']
153	Torque	['mighty']
161	Phoenix	['nice', 'special', 'good']
163	Bon Voyage	['better']
166	Proud Mary	['special', 'hell']
167	The Accidental Prime Minister	['important', 'entertaining']
169	The Savages	['emotional', 'deep', 'uncommon']
176	The Equalizer	[]
179	Suffragette	[]
190	War	['reasonable', 'possible', 'solid']
